,names,dob,positon,month,year
15,Juan Figueroa ,"<td class=""zentriert"">16/10/1999 (23)</td>",<tr><td>Lateral derecho</td></tr>,10,99
16,Patricio Gregorio ,"<td class=""zentriert"">28/02/1999 (23)</td>",<tr><td>Pivote</td></tr>,02,99
17,Nicolás Suárez ,"<td class=""zentriert"">13/04/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,04,99
18,Nicolás Schiappacasse ,"<td class=""zentriert"">12/01/1999 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,01,99
19,Guzmán Díaz ,"<td class=""zentriert"">18/05/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,05,99
20,Briant D'Altoe ,"<td class=""zentriert"">19/01/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,01,99
21,Facundo Tancredi ,"<td class=""zentriert"">15/02/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,02,99
22,Cristian Sellanes ,"<td class=""zentriert"">13/07/1999 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,07,99
23,Matías Deorta ,"<td class=""zentriert"">24/11/1999 (22)</td>",<tr><td>Delantero centro</td></tr>,11,99
24,Mateo Abeijón ,"<td class=""zentriert"">17/09/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,09,99
0,Matías Faber ,"<td class=""zentriert"">23/04/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,04,99
1,Matías Sebben ,"<td class=""zentriert"">05/07/1999 (23)</td>",<tr><td>Defensa central</td></tr>,07,99
2,Álex de Freitas ,"<td class=""zentriert"">24/05/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,05,99
3,Alan García ,"<td class=""zentriert"">14/09/1999 (23)</td>",<tr><td>Lateral derecho</td></tr>,09,99
4,Leandro Moreira ,"<td class=""zentriert"">20/10/1999 (23)</td>",<tr><td>Pivote</td></tr>,10,99
5,Marco Rossello ,"<td class=""zentriert"">05/10/1999 (23)</td>",<tr><td>Extremo derecho</td></tr>,10,99
6,Manuel Vola ,"<td class=""zentriert"">10/04/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,04,99
7,José Domínguez ,"<td class=""zentriert"">21/12/1999 (22)</td>",<tr><td>Medio campo</td></tr>,12,99
8,Franco Maya ,"<td class=""zentriert"">24/05/1999 (23)</td>",<tr><td>Defensa central</td></tr>,05,99
9,Gastón Priore ,"<td class=""zentriert"">30/06/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,06,99
10,Gabriel Sosa ,"<td class=""zentriert"">22/11/1999 (22)</td>",<tr><td>Lateral derecho</td></tr>,11,99
11,Juan Besón ,"<td class=""zentriert"">03/03/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,03,99
12,Martín Gómez ,"<td class=""zentriert"">21/06/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,06,99
13,Federico Viotti ,"<td class=""zentriert"">02/01/1999 (23)</td>",<tr><td>Pivote</td></tr>,01,99
14,Gustavo Da Silva ,"<td class=""zentriert"">11/01/1999 (23)</td>",<tr><td>Mediocentro ofensivo</td></tr>,01,99
15,Nicolás Brun ,"<td class=""zentriert"">02/08/1999 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,08,99
16,Gustavo Vargas ,"<td class=""zentriert"">16/09/1999 (23)</td>",<tr><td>Portero</td></tr>,09,99
17,Gastón Sacarelo ,"<td class=""zentriert"">23/10/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,10,99
18,Jonathan Lima ,"<td class=""zentriert"">24/05/1999 (23)</td>",<tr><td>Portero</td></tr>,05,99
19,Jairo Guerra ,"<td class=""zentriert"">24/08/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,08,99
20,Nicolás Núñez ,"<td class=""zentriert"">03/12/1999 (22)</td>",<tr><td>Extremo izquierdo</td></tr>,12,99
21,Christian Franco ,"<td class=""zentriert"">01/05/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,05,99
22,Andrés Olivera ,"<td class=""zentriert"">12/08/1999 (23)</td>",<tr><td>Interior derecho</td></tr>,08,99
23,Ernesto Ocampo ,"<td class=""zentriert"">02/05/1999 (23)</td>",<tr><td>Medio campo</td></tr>,05,99
24,Alejandro Gil ,"<td class=""zentriert"">10/04/1999 (23)</td>",<tr><td>Delantero</td></tr>,04,99
0,Agustín Delgado ,"<td class=""zentriert"">31/01/1999 (23)</td>",<tr><td>Portero</td></tr>,01,99
1,Aarón Soria ,"<td class=""zentriert"">06/01/1999 (23)</td>",<tr><td>Portero</td></tr>,01,99
2,Agustín Pereira ,"<td class=""zentriert"">18/07/1999 (23)</td>",<tr><td>Defensa</td></tr>,07,99
3,Lucas Casavieja ,"<td class=""zentriert"">19/07/1999 (23)</td>",<tr><td>Delantero</td></tr>,07,99
4,Fabián Pesca ,"<td class=""zentriert"">30/04/1999 (23)</td>",<tr><td>Extremo derecho</td></tr>,04,99
5,Agustín Santana ,"<td class=""zentriert"">21/09/1999 (23)</td>",<tr><td>Medio campo</td></tr>,09,99
6,Mauro Moreira ,"<td class=""zentriert"">09/06/1999 (23)</td>",<tr><td>Defensa</td></tr>,06,99
7,Luciano Urán ,"<td class=""zentriert"">08/08/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,08,99
8,Facundo Cancela ,"<td class=""zentriert"">01/05/1999 (23)</td>",<tr><td>Portero</td></tr>,05,99
9,Ignacio Beltramelli ,"<td class=""zentriert"">17/02/1999 (23)</td>",<tr><td>Defensa central</td></tr>,02,99
10,Nelson Dos Santos ,"<td class=""zentriert"">07/02/1999 (23)</td>",<tr><td>Defensa</td></tr>,02,99
11,Horacio Bardanca ,"<td class=""zentriert"">26/04/1999 (23)</td>",<tr><td>Medio campo</td></tr>,04,99
12,Diego Sabatel ,"<td class=""zentriert"">24/08/1999 (23)</td>",<tr><td>Defensa central</td></tr>,08,99
13,Sebastián Bentos ,"<td class=""zentriert"">25/02/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,02,99
14,Pablo Barrios ,"<td class=""zentriert"">19/08/1999 (23)</td>",<tr><td>Defensa</td></tr>,08,99
15,Germán Gutiérrez ,"<td class=""zentriert"">27/06/1999 (23)</td>",<tr><td>Defensa central</td></tr>,06,99
16,Pablo Muscarelli ,"<td class=""zentriert"">05/05/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,05,99
17,Daniel Ceballes ,"<td class=""zentriert"">28/06/1999 (23)</td>",<tr><td>Medio campo</td></tr>,06,99
18,Ignacio Ojeda ,"<td class=""zentriert"">04/02/1999 (23)</td>",<tr><td>Pivote</td></tr>,02,99
19,Agustín Coitto ,"<td class=""zentriert"">25/12/1999 (22)</td>",<tr><td>Medio campo</td></tr>,12,99
20,Mauro Picerno ,"<td class=""zentriert"">09/12/1999 (22)</td>",<tr><td>Lateral derecho</td></tr>,12,99
21,Lucas Lópes ,"<td class=""zentriert"">30/01/1999 (23)</td>",<tr><td>Interior izquierdo</td></tr>,01,99
22,Leonardo Machado ,"<td class=""zentriert"">09/04/1999 (23)</td>",<tr><td>Portero</td></tr>,04,99
23,Facundo Godoy ,"<td class=""zentriert"">21/02/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,02,99
24,Martín Mondino ,"<td class=""zentriert"">28/06/1999 (23)</td>",<tr><td>Defensa central</td></tr>,06,99
0,Maximiliano Ferreira ,"<td class=""zentriert"">15/08/1999 (23)</td>",<tr><td>Medio campo</td></tr>,08,99
1,Santiago Muñoz ,"<td class=""zentriert"">03/06/1999 (23)</td>",<tr><td>Portero</td></tr>,06,99
2,Lucas Ortíz ,"<td class=""zentriert"">26/05/1999 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,05,99
3,Hernan Haller ,"<td class=""zentriert"">27/09/1999 (23)</td>",<tr><td>Portero</td></tr>,09,99
4,Federico Fernández ,"<td class=""zentriert"">17/05/1999 (23)</td>",<tr><td>Interior izquierdo</td></tr>,05,99
5,Anthony Rijo ,"<td class=""zentriert"">12/01/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,01,99
6,Matías Fontes ,"<td class=""zentriert"">27/06/1999 (23)</td>",<tr><td>Defensa central</td></tr>,06,99
7,Diego Caraballo ,"<td class=""zentriert"">13/11/1999 (22)</td>",<tr><td>Extremo derecho</td></tr>,11,99
8,Jonathan Jorge ,"<td class=""zentriert"">08/05/1999 (23)</td>",<tr><td>Pivote</td></tr>,05,99
9,Facundo Pareja ,"<td class=""zentriert"">24/09/1999 (23)</td>",<tr><td>Portero</td></tr>,09,99
10,Marcos Donato ,"<td class=""zentriert"">22/10/1999 (23)</td>",<tr><td>Portero</td></tr>,10,99
11,Christian Falcón ,"<td class=""zentriert"">07/11/1999 (22)</td>",<tr><td>Defensa</td></tr>,11,99
12,Gabriel Zapata ,"<td class=""zentriert"">26/04/1999 (23)</td>",<tr><td>Portero</td></tr>,04,99
13,Rodrigo Ciosek ,"<td class=""zentriert"">15/04/1999 (23)</td>",<tr><td>Defensa</td></tr>,04,99
14,Federico García ,"<td class=""zentriert"">25/04/1999 (23)</td>",<tr><td>Portero</td></tr>,04,99
15,Cristian Andrade ,"<td class=""zentriert"">26/04/1999 (23)</td>",<tr><td>Portero</td></tr>,04,99
16,Germán Correa ,"<td class=""zentriert"">23/02/1999 (23)</td>",<tr><td>Portero</td></tr>,02,99
17,Gabriel Mustakas ,"<td class=""zentriert"">27/07/1999 (23)</td>",<tr><td>Defensa central</td></tr>,07,99
18,Cristian Antúnez ,"<td class=""zentriert"">25/06/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,06,99
19,Gastón De Pedro ,"<td class=""zentriert"">21/12/1999 (22)</td>",<tr><td>Defensa central</td></tr>,12,99
20,Matías Esnal ,"<td class=""zentriert"">21/01/1999 (23)</td>",<tr><td>Portero</td></tr>,01,99
21,Facundo Antúnez ,"<td class=""zentriert"">20/03/1999 (23)</td>",<tr><td>Interior derecho</td></tr>,03,99
22,Diego Amaro ,"<td class=""zentriert"">12/04/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,04,99
23,José Muyala ,"<td class=""zentriert"">01/04/1999 (23)</td>",<tr><td>Defensa central</td></tr>,04,99
24,Santiago Franco ,"<td class=""zentriert"">20/04/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,04,99
0,Bruno Rodríguez ,"<td class=""zentriert"">03/02/1999 (23)</td>",<tr><td>Lateral derecho</td></tr>,02,99
1,Facundo Briñón ,"<td class=""zentriert"">14/04/1999 (23)</td>",<tr><td>Medio campo</td></tr>,04,99
2,Franco Leguizamón ,"<td class=""zentriert"">29/01/1999 (23)</td>",<tr><td>Mediocentro ofensivo</td></tr>,01,99
3,Matías Molina ,"<td class=""zentriert"">12/08/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,08,99
0,Facundo Torres ,"<td class=""zentriert"">13/04/2000 (22)</td>",<tr><td>Extremo izquierdo</td></tr>,04,00
1,Gastón Álvarez ,"<td class=""zentriert"">24/03/2000 (22)</td>",<tr><td>Defensa central</td></tr>,03,00
2,Santiago Rodríguez ,"<td class=""zentriert"">08/01/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,01,00
3,Brian Rodríguez ,"<td class=""zentriert"">20/05/2000 (22)</td>",<tr><td>Extremo izquierdo</td></tr>,05,00
4,Salomón Rodríguez ,"<td class=""zentriert"">16/02/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,02,00
5,Maximiliano Araújo ,"<td class=""zentriert"">15/02/2000 (22)</td>",<tr><td>Interior izquierdo</td></tr>,02,00
6,Juan Manuel Sanabria ,"<td class=""zentriert"">29/03/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,03,00
7,Franco Israel ,"<td class=""zentriert"">22/04/2000 (22)</td>",<tr><td>Portero</td></tr>,04,00
8,Alan Rodríguez ,"<td class=""zentriert"">25/01/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,01,00
9,Federico Pereira ,"<td class=""zentriert"">24/02/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,02,00
10,Guzmán Rodríguez ,"<td class=""zentriert"">08/02/2000 (22)</td>",<tr><td>Defensa central</td></tr>,02,00
11,Mauro Silveira ,"<td class=""zentriert"">06/05/2000 (22)</td>",<tr><td>Portero</td></tr>,05,00
12,Edgar Elizalde ,"<td class=""zentriert"">27/02/2000 (22)</td>",<tr><td>Defensa central</td></tr>,02,00
13,Sebastián Guerrero ,"<td class=""zentriert"">23/09/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,09,00
14,Rodrigo Saravia ,"<td class=""zentriert"">17/08/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,08,00
15,Rafael Haller ,"<td class=""zentriert"">17/08/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,08,00
16,Alejo Cruz ,"<td class=""zentriert"">01/09/2000 (22)</td>",<tr><td>Extremo izquierdo</td></tr>,09,00
17,Gonzalo Nápoli ,"<td class=""zentriert"">08/05/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,05,00
18,Diego Romero ,"<td class=""zentriert"">02/03/2000 (22)</td>",<tr><td>Interior izquierdo</td></tr>,03,00
19,Marcos Camarda ,"<td class=""zentriert"">22/11/2000 (21)</td>",<tr><td>Delantero centro</td></tr>,11,00
20,Gastón Martirena ,"<td class=""zentriert"">05/01/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,01,00
21,José Neris ,"<td class=""zentriert"">13/03/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,03,00
22,Thomás Chacón ,"<td class=""zentriert"">17/08/2000 (22)</td>",<tr><td>Interior izquierdo</td></tr>,08,00
23,Lucas Lemos ,"<td class=""zentriert"">26/02/2000 (22)</td>",<tr><td>Defensa central</td></tr>,02,00
24,Diego Hernández ,"<td class=""zentriert"">22/06/2000 (22)</td>",<tr><td>Extremo izquierdo</td></tr>,06,00
0,Sebastián González ,"<td class=""zentriert"">11/02/2000 (22)</td>",<tr><td>Pivote</td></tr>,02,00
1,Cristian Barros ,"<td class=""zentriert"">09/04/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,04,00
2,Ezequiel Busquets ,"<td class=""zentriert"">24/10/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,10,00
3,Edhard Greising ,"<td class=""zentriert"">02/09/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,09,00
4,Franco Fagúndez ,"<td class=""zentriert"">19/07/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,07,00
5,Agustín Pérez ,"<td class=""zentriert"">20/08/2000 (22)</td>",<tr><td>Pivote</td></tr>,08,00
6,Agustín Da Silveira ,"<td class=""zentriert"">11/12/2000 (21)</td>",<tr><td>Defensa central</td></tr>,12,00
7,Franco Catarozzi ,"<td class=""zentriert"">02/04/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,04,00
8,Francisco Duarte ,"<td class=""zentriert"">28/03/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,03,00
9,Lucas Ferreira ,"<td class=""zentriert"">16/06/2000 (22)</td>",<tr><td>Defensa central</td></tr>,06,00
10,Gerónimo Bortagaray ,"<td class=""zentriert"">05/08/2000 (22)</td>",<tr><td>Defensa central</td></tr>,08,00
11,Enzo Castillo ,"<td class=""zentriert"">23/12/2000 (21)</td>",<tr><td>Defensa central</td></tr>,12,00
12,Gustavo Viera ,"<td class=""zentriert"">21/10/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,10,00
13,Jairo Villalpando ,"<td class=""zentriert"">01/04/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,04,00
14,Sebastián Cáceres ,"<td class=""zentriert"">15/01/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,01,00
15,Valentín Amoroso ,"<td class=""zentriert"">31/07/2000 (22)</td>",<tr><td>Interior izquierdo</td></tr>,07,00
16,Brian Cordara ,"<td class=""zentriert"">02/03/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,03,00
17,Matías Gallardo ,"<td class=""zentriert"">20/04/2000 (22)</td>",<tr><td>Defensa central</td></tr>,04,00
18,Sergio Núñez ,"<td class=""zentriert"">30/06/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,06,00
19,Maicol Rodríguez ,"<td class=""zentriert"">29/01/2000 (22)</td>",<tr><td>Interior izquierdo</td></tr>,01,00
20,Nahuel Suárez ,"<td class=""zentriert"">02/06/2000 (22)</td>",<tr><td>Portero</td></tr>,06,00
21,Brian Ferrares ,"<td class=""zentriert"">01/03/2000 (22)</td>",<tr><td>Defensa central</td></tr>,03,00
22,Hernán Labraga ,"<td class=""zentriert"">09/05/2000 (22)</td>",<tr><td>Defensa central</td></tr>,05,00
23,Mauro Muhlethaler ,"<td class=""zentriert"">04/04/2000 (22)</td>",<tr><td>Interior izquierdo</td></tr>,04,00
24,Juan Quintana ,"<td class=""zentriert"">04/01/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,01,00
0,Franco Posse ,"<td class=""zentriert"">21/09/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,09,00
1,Bruno Scorza ,"<td class=""zentriert"">01/10/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,10,00
2,Facundo Parada ,"<td class=""zentriert"">28/01/2000 (22)</td>",<tr><td>Defensa central</td></tr>,01,00
3,Owen Falconis ,"<td class=""zentriert"">25/02/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,02,00
4,Lucas Sanseviero ,"<td class=""zentriert"">05/08/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,08,00
5,Mariano Nichele ,"<td class=""zentriert"">26/09/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,09,00
6,Emiliano García ,"<td class=""zentriert"">19/01/2000 (22)</td>",<tr><td>Extremo izquierdo</td></tr>,01,00
7,Martín Gianoli ,"<td class=""zentriert"">27/09/2000 (22)</td>",<tr><td>Defensa central</td></tr>,09,00
8,Emiliano Corujo ,"<td class=""zentriert"">18/01/2000 (22)</td>",<tr><td>Portero</td></tr>,01,00
9,Rodrigo Vidal ,"<td class=""zentriert"">12/08/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,08,00
10,Nicolás Pintado ,"<td class=""zentriert"">24/03/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,03,00
11,Emiliano Tracchia ,"<td class=""zentriert"">22/03/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,03,00
12,Nicolás García ,"<td class=""zentriert"">05/10/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,10,00
13,Joaquín Machado ,"<td class=""zentriert"">05/05/2000 (22)</td>",<tr><td>Defensa central</td></tr>,05,00
14,Ezequiel Silveira ,"<td class=""zentriert"">22/07/2000 (22)</td>",<tr><td>Defensa central</td></tr>,07,00
15,Luca Núñez ,"<td class=""zentriert"">07/06/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,06,00
16,Diego Cor ,"<td class=""zentriert"">06/07/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,07,00
17,Agustín Araújo ,"<td class=""zentriert"">11/12/2000 (21)</td>",<tr><td>Delantero centro</td></tr>,12,00
18,Fabián Borges ,"<td class=""zentriert"">08/04/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,04,00
19,Federico Larraura ,"<td class=""zentriert"">07/01/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,01,00
20,Rafael Melo ,"<td class=""zentriert"">19/03/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,03,00
21,Ismael Tejería ,"<td class=""zentriert"">23/02/2000 (22)</td>",<tr><td>Defensa central</td></tr>,02,00
22,Santiago Rodríguez ,"<td class=""zentriert"">15/02/2000 (22)</td>",<tr><td>Interior izquierdo</td></tr>,02,00
23,Joaquin Wigman ,"<td class=""zentriert"">15/05/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,05,00
24,Luca Giossa ,"<td class=""zentriert"">24/05/2000 (22)</td>",<tr><td>Portero</td></tr>,05,00
0,Brian Leis ,"<td class=""zentriert"">18/11/2000 (21)</td>",<tr><td>Delantero centro</td></tr>,11,00
1,Martín Correa ,"<td class=""zentriert"">04/06/2000 (22)</td>",<tr><td>Portero</td></tr>,06,00
2,Federico Andrade ,"<td class=""zentriert"">14/08/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,08,00
3,Anthony Cutti ,"<td class=""zentriert"">30/07/2000 (22)</td>",<tr><td>Extremo izquierdo</td></tr>,07,00
4,Ivo Allende ,"<td class=""zentriert"">04/11/2000 (21)</td>",<tr><td>Interior derecho</td></tr>,11,00
5,Ezequiel Mechoso ,"<td class=""zentriert"">23/03/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,03,00
6,Jonathan González ,"<td class=""zentriert"">22/06/2000 (22)</td>",<tr><td>Defensa central</td></tr>,06,00
7,Santiago Costa ,"<td class=""zentriert"">12/02/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,02,00
8,Danilo Bangueses ,"<td class=""zentriert"">04/01/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,01,00
9,Maicol Vidal ,"<td class=""zentriert"">26/07/2000 (22)</td>",<tr><td>Portero</td></tr>,07,00
10,Octavio Perdomo ,"<td class=""zentriert"">25/01/2000 (22)</td>",<tr><td>Pivote</td></tr>,01,00
11,Samuel Rodriguez ,"<td class=""zentriert"">21/01/2000 (22)</td>",<tr><td>Defensa central</td></tr>,01,00
12,Emerson Núñez ,"<td class=""zentriert"">12/04/2000 (22)</td>",<tr><td>Interior izquierdo</td></tr>,04,00
13,Diego Aguilera ,"<td class=""zentriert"">11/08/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,08,00
14,Joaquín Sarlabos ,"<td class=""zentriert"">11/05/2000 (22)</td>",<tr><td>Defensa central</td></tr>,05,00
15,Daniel Pérez ,"<td class=""zentriert"">17/07/2000 (22)</td>",<tr><td>Defensa central</td></tr>,07,00
16,Yamandú Pereyra ,"<td class=""zentriert"">07/10/2000 (22)</td>",<tr><td>Defensa central</td></tr>,10,00
17,Bruno Barbato ,"<td class=""zentriert"">10/05/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,05,00
18,Facundo Silvestre ,"<td class=""zentriert"">27/11/2000 (21)</td>",<tr><td>Pivote</td></tr>,11,00
19,Mathías Bernatene ,"<td class=""zentriert"">24/07/2000 (22)</td>",<tr><td>Portero</td></tr>,07,00
20,Sebastián Hohl ,"<td class=""zentriert"">20/06/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,06,00
21,Osvaldo Iorio Forestero ,"<td class=""zentriert"">02/08/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,08,00
22,Walter Corrales ,"<td class=""zentriert"">02/03/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,03,00
23,Mauro García ,"<td class=""zentriert"">27/02/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,02,00
24,Lucas Ribeiro ,"<td class=""zentriert"">10/07/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,07,00
0,Iván García ,"<td class=""zentriert"">15/01/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,01,00
1,Emanuel Fuentes ,"<td class=""zentriert"">02/06/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,06,00
2,Alejandro García ,"<td class=""zentriert"">02/11/2000 (21)</td>",<tr><td>Pivote</td></tr>,11,00
3,Nicolás Da Fonte ,"<td class=""zentriert"">21/07/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,07,00
4,Thomas Ferreira ,"<td class=""zentriert"">23/09/2000 (22)</td>",<tr><td>Defensa central</td></tr>,09,00
5,Gianlucas García ,"<td class=""zentriert"">15/05/2000 (22)</td>",<tr><td>Defensa central</td></tr>,05,00
6,Diego Segovia ,"<td class=""zentriert"">15/05/2000 (22)</td>",<tr><td>Portero</td></tr>,05,00
7,Nicolás Lugano ,"<td class=""zentriert"">07/07/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,07,00
8,Facundo Pérez ,"<td class=""zentriert"">23/03/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,03,00
9,Cristian Ferradans ,"<td class=""zentriert"">20/01/2000 (22)</td>",<tr><td>Pivote</td></tr>,01,00
10,Luciano Demarco ,"<td class=""zentriert"">12/12/2000 (21)</td>",<tr><td>Portero</td></tr>,12,00
11,Facundo Nóbrega ,"<td class=""zentriert"">24/05/2000 (22)</td>",<tr><td>Delantero</td></tr>,05,00
12,Matías Losada ,"<td class=""zentriert"">27/11/2000 (21)</td>",<tr><td>Portero</td></tr>,11,00
13,Nicolás Césaro ,"<td class=""zentriert"">11/03/2000 (22)</td>",<tr><td>Portero</td></tr>,03,00
14,Bruno Serrón ,"<td class=""zentriert"">26/09/2000 (22)</td>",<tr><td>Defensa central</td></tr>,09,00
15,Nicolás Mallet Konovaluk ,"<td class=""zentriert"">21/09/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,09,00
16,Matías Cedrés ,"<td class=""zentriert"">01/01/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,01,00
17,Joaquín De León ,"<td class=""zentriert"">05/07/2000 (22)</td>",<tr><td>Defensa</td></tr>,07,00
18,Cristian Alvez ,"<td class=""zentriert"">18/03/2000 (22)</td>",<tr><td>Medio campo</td></tr>,03,00
19,Lautaro Aguete ,"<td class=""zentriert"">23/02/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,02,00
20,Anthony Stella ,"<td class=""zentriert"">07/04/2000 (22)</td>",<tr><td>Mediapunta</td></tr>,04,00
21,Santiago Falcón ,"<td class=""zentriert"">28/09/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,09,00
22,Gonzalo Viotti ,"<td class=""zentriert"">10/06/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,06,00
23,Luciano Rodríguez ,"<td class=""zentriert"">19/12/2000 (21)</td>",<tr><td>Medio campo</td></tr>,12,00
24,Pablo Fernández ,"<td class=""zentriert"">27/11/2000 (21)</td>",<tr><td>Delantero</td></tr>,11,00
0,Brian Prado ,"<td class=""zentriert"">01/01/2000 (22)</td>",<tr><td>Medio campo</td></tr>,01,00
1,Franco Ciribello ,"<td class=""zentriert"">02/01/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,01,00
2,Rodolfo Rodríguez ,"<td class=""zentriert"">16/11/2000 (21)</td>",<tr><td>Portero</td></tr>,11,00
3,Fabricio Sanguinetti ,"<td class=""zentriert"">23/08/2000 (22)</td>",<tr><td>Delantero</td></tr>,08,00
4,Santiago Acosta ,"<td class=""zentriert"">07/07/2000 (22)</td>",<tr><td>Defensa central</td></tr>,07,00
5,Felipe Cairus ,"<td class=""zentriert"">28/04/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,04,00
6,Owen Rodríguez ,"<td class=""zentriert"">23/10/2000 (22)</td>",<tr><td>Medio campo</td></tr>,10,00
7,Diego Bustos ,"<td class=""zentriert"">21/12/2000 (21)</td>",<tr><td>Mediocentro ofensivo</td></tr>,12,00
8,Brian Correa ,"<td class=""zentriert"">17/01/2000 (22)</td>",<tr><td>Portero</td></tr>,01,00
9,Álvaro Fernández ,"<td class=""zentriert"">22/03/2000 (22)</td>",<tr><td>Delantero</td></tr>,03,00
10,Agustín Trinidad ,"<td class=""zentriert"">04/08/2000 (22)</td>",<tr><td>Portero</td></tr>,08,00
11,Juan Godino ,"<td class=""zentriert"">23/11/2000 (21)</td>",<tr><td>Medio campo</td></tr>,11,00
12,Facundo Segovia ,"<td class=""zentriert"">29/10/2000 (21)</td>",<tr><td>Medio campo</td></tr>,10,00
13,Emilio Jara ,"<td class=""zentriert"">29/09/2000 (22)</td>",<tr><td>Defensa</td></tr>,09,00
