,names,dob,positon,month,year
1,Andrés Romero ,"<td class=""zentriert"">08/06/1998 (24)</td>",<tr><td>Defensa central</td></tr>,06,98
2,Santiago Viera ,"<td class=""zentriert"">04/06/1998 (24)</td>",<tr><td>Pivote</td></tr>,06,98
3,Kuki Zalazar ,"<td class=""zentriert"">05/05/1998 (24)</td>",<tr><td>Extremo derecho</td></tr>,05,98
4,Facundo Vega ,"<td class=""zentriert"">18/08/1998 (24)</td>",<tr><td>Lateral derecho</td></tr>,08,98
5,Richard Rodríguez ,"<td class=""zentriert"">25/07/1998 (24)</td>",<tr><td>Defensa central</td></tr>,07,98
6,Joel Lew ,"<td class=""zentriert"">27/02/1998 (24)</td>",<tr><td>Mediocentro</td></tr>,02,98
7,Juan Plada ,"<td class=""zentriert"">06/08/1998 (24)</td>",<tr><td>Interior izquierdo</td></tr>,08,98
8,Santiago Pérez ,"<td class=""zentriert"">08/11/1998 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,11,98
9,Facundo Episcopo ,"<td class=""zentriert"">10/12/1998 (23)</td>",<tr><td>Interior izquierdo</td></tr>,12,98
10,Leonardo Olavarría ,"<td class=""zentriert"">25/02/1998 (24)</td>",<tr><td>Mediocentro</td></tr>,02,98
11,Yhojan Díaz ,"<td class=""zentriert"">10/02/1998 (24)</td>",<tr><td>Extremo izquierdo</td></tr>,02,98
12,Gonzalo Pintos ,"<td class=""zentriert"">16/02/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,02,98
13,Diego Rosa ,"<td class=""zentriert"">27/08/1998 (24)</td>",<tr><td>Interior izquierdo</td></tr>,08,98
14,Luis Cartés ,"<td class=""zentriert"">29/03/1998 (24)</td>",<tr><td>Portero</td></tr>,03,98
15,Uri Amaral ,"<td class=""zentriert"">19/05/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,05,98
16,Franco García ,"<td class=""zentriert"">30/05/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,05,98
17,Juan Moreira ,"<td class=""zentriert"">31/05/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,05,98
18,Damián Cabrera ,"<td class=""zentriert"">23/11/1998 (23)</td>",<tr><td>Delantero centro</td></tr>,11,98
19,Alejandro Della Nave ,"<td class=""zentriert"">15/08/1998 (24)</td>",<tr><td>Mediapunta</td></tr>,08,98
20,Emiliano Mozzone ,"<td class=""zentriert"">23/04/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,04,98
21,Elías Oyola ,"<td class=""zentriert"">21/05/1998 (24)</td>",<tr><td>Interior izquierdo</td></tr>,05,98
22,Diego Duque ,"<td class=""zentriert"">01/06/1998 (24)</td>",<tr><td>Defensa central</td></tr>,06,98
23,Juan Affonso ,"<td class=""zentriert"">09/06/1998 (24)</td>",<tr><td>Pivote</td></tr>,06,98
24,Luis Miguel Rodríguez ,"<td class=""zentriert"">28/12/1998 (23)</td>",<tr><td>Delantero centro</td></tr>,12,98
0,Antony Alonso ,"<td class=""zentriert"">11/05/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,05,98
1,Agustín Buffa ,"<td class=""zentriert"">08/01/1998 (24)</td>",<tr><td>Portero</td></tr>,01,98
2,Nicolás López ,"<td class=""zentriert"">16/06/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,06,98
3,Valentín Fernández ,"<td class=""zentriert"">15/05/1998 (24)</td>",<tr><td>Portero</td></tr>,05,98
4,Facundo Falcón ,"<td class=""zentriert"">23/08/1998 (24)</td>",<tr><td>Defensa central</td></tr>,08,98
5,Maycol Lisboa ,"<td class=""zentriert"">15/05/1998 (24)</td>",<tr><td>Defensa central</td></tr>,05,98
6,Agustín Cedrés ,"<td class=""zentriert"">28/05/1998 (24)</td>",<tr><td>Mediocentro ofensivo</td></tr>,05,98
7,Lionel Silva ,"<td class=""zentriert"">01/07/1998 (24)</td>",<tr><td>Medio campo</td></tr>,07,98
8,Santiago Castelnoble ,"<td class=""zentriert"">12/07/1998 (24)</td>",<tr><td>Mediocentro</td></tr>,07,98
9,Diego Torres ,"<td class=""zentriert"">28/01/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,01,98
10,Franco Fagúndez ,"<td class=""zentriert"">14/12/1998 (23)</td>",<tr><td>Mediocentro ofensivo</td></tr>,12,98
11,Maximiliano Silvera ,"<td class=""zentriert"">25/01/1998 (24)</td>",<tr><td>Defensa central</td></tr>,01,98
12,Santiago Núñez ,"<td class=""zentriert"">11/12/1998 (23)</td>",<tr><td>Delantero centro</td></tr>,12,98
13,Agustín Carella ,"<td class=""zentriert"">28/03/1998 (24)</td>",<tr><td>Defensa central</td></tr>,03,98
14,Lucas Santiso ,"<td class=""zentriert"">28/02/1998 (24)</td>",<tr><td>Defensa</td></tr>,02,98
15,Lucas Vignone ,"<td class=""zentriert"">28/01/1998 (24)</td>",<tr><td>Delantero</td></tr>,01,98
16,Santiago Merlo ,"<td class=""zentriert"">30/08/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,08,98
17,Agustín Morales ,"<td class=""zentriert"">17/02/1998 (24)</td>",<tr><td>Delantero</td></tr>,02,98
18,Joan Etchebarne ,"<td class=""zentriert"">02/01/1998 (24)</td>",<tr><td>Medio campo</td></tr>,01,98
19,Cristian Ferreira ,"<td class=""zentriert"">16/01/1998 (24)</td>",<tr><td>Defensa central</td></tr>,01,98
20,Anderson Bonette ,"<td class=""zentriert"">09/03/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,03,98
21,Eduardo Chocho ,"<td class=""zentriert"">04/05/1998 (24)</td>",<tr><td>Extremo derecho</td></tr>,05,98
22,Eric Arias ,"<td class=""zentriert"">17/11/1998 (23)</td>",<tr><td>Defensa</td></tr>,11,98
23,Valentín Melgar ,"<td class=""zentriert"">22/07/1998 (24)</td>",<tr><td>Portero</td></tr>,07,98
24,Martín Hernandez ,"<td class=""zentriert"">03/12/1998 (23)</td>",<tr><td>Lateral derecho</td></tr>,12,98
